1	ACOSTA ÑÚ
2	AGOSTO 16 DE
3	ALEGRÍA
4	AMANECER
5	ARGAÑA, LUIS MARÍA. Vicepresidente de la República Prof. Dr.
6	ARROYO JARDÍN
7	ARSENIO, ERICO
8	ARTIGAS, JOSÉ GERVACIO. Gral.
9	ASUNCIÓN
10	ATY GUAZÚ
11	ATY RENDA
12	AVIADORES DEL CHACO
13	AZARA
14	BADO. Capitán
15	BARBERO, ANDRÉS. Dr.
16	BARBERO, ANDRÉS. Dr .
17	BARBOZA, AGUSTÍN, Don
18	BARRIOS, AGUSTÍN PIO
19	BATALLÓN 40
20	BATALLÓN MARISCAL LÓPEZ
21	BOGARÍN, JUAN SINFORIANO. Monseñor
22	BOQUERÓN
23	BOQUERÓN
24	BUEN PASTOR
25	CABALLERO ÁLVAREZ, FRANCISCO. Gral. Div.
26	CABALLERO, BERNARDINO
27	CABALLERO, BERNARDINO. Gral.
28	CABALLERO, PEDRO JUAN. Capitán
29	CALIFORNIA
30	CAÑADA EL CARMEN
31	CARMELITAS
32	CASCO DE LARA CASTRO, CARMEN
33	CENTRO DEPORTIVO Y RECREATIVO JHON DENIS ARECO ACOSTA
34	CERRO LAMBARÉ
35	CHIANG KAI SHEK
36	CLUB DE LEONES SAN VICENTE
37	COMISIÓN VECINAL ÑAÑOPOTYVOPA GUAZÚ
38	COMUNEROS
39	COMUNEROS
40	CUBAS, EMILIO. Dr.
41	C. V. ARROYO YBYRAY
42	DEFENSORES DEL CHACO
43	DE HERRERA, LUIS ALBERTO
44	DE LA AMISTAD
45	DE LA DEMOCRACIA
46	DE LA CABAÑA
47	DE LA JUSTICIA
48	DE LA JUVENTUD
49	DE LA PAZ
50	DE LARA, JUANA
51	DE LAS AMÉRICAS
52	DE LAS ARTES
53	DE LAS RESIDENTAS
54	DE LAS RESIDENTAS
55	DEL CONGRESO
56	DE LOS DESAPARECIDOS
57	DE LOS HÉROES
58	DEL PARANÁ, LUIS ALBERTO
59	DEL PUERTO
60	DE MIÑO, LOLA
61	DIVINA PROVIDENCIA
62	EL AGRICULTOR PARAGUAYO
63	EL PINAR
64	EL PORTAL
65	ESCOBAR, PATRICIO
66	ESPERANZA
67	EX EXPOPAR
68	FERNÁNDEZ, EMILIANO R.
69	FRANCO, JULIO CESAR
70	GARAY EUGENIO A. Gral.
71	GAUTO, JOSÉ LEÓN. Sgto.
72	GIMÉNEZ, HERMINIO. Prof.
73	GÓMEZ SERRATO, DARIO
74	GRUPO HABITACIONAL AEROPUERTO
75	GUANES, SALVADOR
76	GUARANÍ
77	HÉROES DEL CHACO
78	HÉROES DEL CHACO
79	HÉROES DEL CHACO
80	HERRERA, LUIS ALBERTO
81	HERREROS. Teniente
82	IGLESIA DEL CEMENTERIO DE LA RECOLETA
83	INDEPENDENCIA
84	INMIGRANTES COREANOS
85	IRALA BURGOS, ADRIANO
86	ISABEL LA CATÓLICA
87	ISLA DE CAPRI
88	ITA ENRAMADA
89	ITALIA
90	ITAY
91	JAPÓN
92	JARA, CRISPÍN
93	JARDÍN BOTÁNICO Y ZOOLÓGICO Dr. CARLOS FIEBRIG
94	JOAYHUPAPE
95	JULIO 14 DE
96	KA'A RETA
97	KARANCHO
98	KATUPYRY
99	KENNEDY, JOHN F.
100	LA CANDELARIA
101	LA PIEDAD
102	LA RESIDENTA
103	LA RIVERA
104	LAS COLINAS
105	LAS MERCEDES
106	LOMA PYTA
107	LOMBARDO. Sgto.
108	LOMBARDO. Cap.
109	LÓPEZ, CARLOS ANTONIO. Presidente
110	LÓPEZ, FRANCISCO SOLANO. Mcal.
111	LOS AMIGOS
112	LOS LAURELES
113	LOS LAURELES
114	MADRES PARAGUAYAS
115	MALDONADO, CESAR LEMOS. Tte. 1º
116	MANGORÉ
117	MANORÁ
118	MARÍA AUXILIADORA
119	MARTÍ, JOSÉ
120	MARTÍNEZ DE IRALA, DOMINGO
121	MARTÍNEZ DE IRALA, DOMINGO
122	MARTÍNEZ RAMELLA
123	MÁRTIRES DE LA POLICÍA NACIONAL
124	MARZO PARAGUAYO
125	MARZO 1º DE
126	MAYO 3 DE
127	MAYO 22 DE
128	MBOCAYATY
129	MBURUCUYÁ
130	MBY'A KOE
131	MELGAREJO, JUAN PORTA
132	MIRADOR RECOLETA
133	MUJER PARAGUAYA
134	NACIONES UNIDAS
135	NANAWA
136	NANAWA
137	NAPOUT, EMILIO. Don
138	NDE RENDAPE AJU
